Días;Meses;Country;Response_measure;date_start;date_end
;3;Netherlands;StayHomeRiskG;13/3/2020;26/6/2020
;2;Netherlands;Teleworking;12/3/2020;31/5/2020
;10;Netherlands;Teleworking;18/8/2020;25/6/2021
;2;Netherlands;TeleworkingPartial;1/6/2020;17/8/2020
;2;Netherlands;WorkplaceClosures;23/3/2020;10/5/2020
;3;Netherlands;WorkplaceClosures;15/12/2020;2/3/2021
;2;Norway;BanOnAllEvents;12/3/2020;6/5/2020
;1;Norway;ClosDaycare;12/3/2020;20/4/2020
;3;Norway;ClosHigh;12/3/2020;14/6/2020
;2;Norway;ClosHighPartial;9/11/2020;3/1/2021
;1;Norway;ClosPrim;12/3/2020;26/4/2020
;2;Norway;ClosPubAny;12/3/2020;31/5/2020
;15;Norway;ClosPubAnyPartial;1/6/2020;25/9/2021
;2;Norway;ClosSec;12/3/2020;11/5/2020
;2;Norway;EntertainmentVenues;12/3/2020;31/5/2020
;7;Norway;EntertainmentVenuesPartial;1/6/2020;3/1/2021
;2;Norway;GymsSportsCentres;12/3/2020;14/5/2020
;1;Norway;IndoorOver50;7/5/2020;14/6/2020
;8;Norway;IndoorOver500;15/6/2020;18/2/2021
;18;Norway;MasksVoluntaryAllSpacesPartial;14/8/2020;12/2/2022
;3;Norway;MassGather50;12/3/2020;14/6/2020
;3;Norway;MassGatherAll;12/3/2020;14/6/2020
;7;Norway;MassGatherAll;12/10/2020;26/5/2021
;4;Norway;MassGatherAllPartial;15/6/2020;11/10/2020
;1;Norway;OutdoorOver50;7/5/2020;14/6/2020
;9;Norway;OutdoorOver500;15/6/2020;24/3/2021
;15;Norway;PrivateGatheringRestrictions;2/6/2020;25/9/2021
;8;Norway;QuarantineForInternationalTravellers;15/7/2020;5/3/2021
;2;Norway;QuarantineForInternationalTravellersPartial;7/5/2020;14/7/2020
;2;Norway;RestaurantsCafes;12/3/2020;31/5/2020
;15;Norway;RestaurantsCafesPartial;1/6/2020;25/9/2021
;2;Norway;StayHomeGen;5/11/2020;3/1/2021
;3;Norway;StayHomeRiskG;12/3/2020;1/6/2020
;15;Norway;Teleworking;10/3/2020;17/6/2021
;;Poland;AdaptationOfWorkplace;2/4/2020;
;2;Poland;BanOnAllEvents;14/3/2020;3/5/2020
;6;Poland;BanOnAllEvents;7/11/2020;7/5/2021
;1;Poland;BanOnAllEventsPartial;17/7/2020;6/8/2020
;2;Poland;ClosDaycare;12/3/2020;6/5/2020
;2;Poland;ClosHigh;12/3/2020;24/5/2020
;3;Poland;ClosHighPartial;25/5/2020;31/8/2020
;;Poland;ClosHighPartial;1/10/2020;
;2;Poland;ClosPrim;12/3/2020;24/5/2020
;2;Poland;ClosPrim;10/11/2020;17/1/2021
;1;Poland;ClosPrimPartial;25/5/2020;30/6/2020
;1;Poland;ClosPrimPartial;24/10/2020;9/11/2020
0;0;Poland;ClosPubAny;14/3/2020;14/3/2020
;;Poland;ClosPubAnyPartial;15/3/2020;
;2;Poland;ClosSec;12/3/2020;24/5/2020
;7;Poland;ClosSec;24/10/2020;14/5/2021
;1;Poland;ClosSecPartial;25/5/2020;30/6/2020
;1;Poland;ClosSecPartial;1/9/2020;23/10/2020
;15;Poland;ClosureOfPublicTransportPartial;15/3/2020;26/6/2021
;3;Poland;EntertainmentVenues;14/3/2020;6/6/2020
;3;Poland;EntertainmentVenues;24/10/2020;31/1/2021
;4;Poland;EntertainmentVenuesPartial;7/6/2020;23/10/2020
;3;Poland;GymsSportsCentres;14/3/2020;4/6/2020
;2;Poland;GymsSportsCentresPartial;5/6/2020;6/8/2020
;2;Poland;HotelsOtherAccommodation;14/3/2020;4/5/2020
;;Poland;HotelsOtherAccommodationPartial;24/10/2020;
6;0;Poland;IndoorOver100;10/10/2020;16/10/2020
;1;Poland;IndoorOver50;23/10/2020;6/11/2020
3;0;Poland;IndoorOver500;10/3/2020;13/3/2020
;2;Poland;IndoorOver500;7/8/2020;9/10/2020
;1;Poland;MasksMandatoryAllSpaces;16/4/2020;29/5/2020
;7;Poland;MasksMandatoryAllSpaces;10/10/2020;14/5/2021
;4;Poland;MasksMandatoryClosedSpacesPartial;30/5/2020;18/9/2020
;2;Poland;MassGather50;14/3/2020;3/5/2020
;7;Poland;MassGather50;23/10/2020;7/5/2021
;1;Poland;MassGather50Partial;17/7/2020;6/8/2020
;2;Poland;MassGatherAll;10/3/2020;3/5/2020
;1;Poland;MassGatherAll;30/5/2020;18/6/2020
;7;Poland;MassGatherAll;23/10/2020;7/5/2021
;4;Poland;MassGatherAllPartial;19/6/2020;16/10/2020
;2;Poland;NonEssentialShops;14/3/2020;17/5/2020
;2;Poland;NonEssentialShops;7/11/2020;31/1/2021
;2;Poland;OutdoorOver100;30/5/2020;16/7/2020
;2;Poland;OutdoorOver500;7/8/2020;10/10/2020
;1;Poland;PlaceOfWorshipPartial;19/4/2020;30/5/2020
;;Poland;PlaceOfWorshipPartial;9/8/2020;
;1;Poland;PrivateGatheringRestrictions;2/4/2020;29/5/2020
;7;Poland;PrivateGatheringRestrictions;17/10/2020;7/5/2021
;;Poland;QuarantineForInternationalTravellers;15/3/2020;
;2;Poland;RestaurantsCafes;14/3/2020;17/5/2020
;7;Poland;RestaurantsCafes;24/10/2020;14/5/2021
11;0;Poland;RestaurantsCafesPartial;18/5/2020;29/5/2020
;1;Poland;StayHomeGen;20/4/2020;4/5/2020
;1;Poland;StayHomeOrder;24/3/2020;19/4/2020
;;Poland;StayHomeRiskG;8/3/2020;
;;Poland;Teleworking;8/3/2020;
;11;Portugal;BanOnAllEvents;4/5/2020;15/4/2021
;2;Portugal;ClosDaycare;16/3/2020;17/5/2020
13;0;Portugal;ClosDaycarePartial;18/5/2020;31/5/2020
;2;Portugal;ClosHigh;16/3/2020;17/5/2020
;4;Portugal;ClosHighPartial;18/5/2020;7/9/2020
;6;Portugal;ClosPrim;16/3/2020;14/9/2020
4;0;Portugal;ClosPubAny;13/3/2020;17/3/2020
;;Portugal;ClosPubAnyPartial;18/3/2020;
;2;Portugal;ClosSec;16/3/2020;17/5/2020
;4;Portugal;ClosSecPartial;18/5/2020;14/9/2020
;17;Portugal;ClosureOfPublicTransportPartial;18/3/2020;22/8/2021
;2;Portugal;EntertainmentVenues;13/3/2020;17/5/2020
;1;Portugal;EntertainmentVenuesPartial;18/5/2020;1/6/2020
;2;Portugal;EntertainmentVenuesPartial;24/11/2020;14/1/2021
;2;Portugal;GymsSportsCentres;15/3/2020;3/5/2020
;6;Portugal;GymsSportsCentresPartial;4/5/2020;23/11/2020
;2;Portugal;IndoorOver100;15/3/2020;3/5/2020
;11;Portugal;MasksMandatoryAllSpaces;28/10/2020;30/9/2021
;5;Portugal;MasksMandatoryClosedSpaces;4/5/2020;27/10/2020
12;0;Portugal;MasksVoluntaryAllSpaces;15/10/2020;27/10/2020
;11;Portugal;MassGather50;4/5/2020;15/4/2021
;13;Portugal;MassGatherAll;15/3/2020;15/4/2021
;2;Portugal;NonEssentialShops;15/3/2020;3/5/2020
;6;Portugal;NonEssentialShopsPartial;4/5/2020;23/11/2020
;2;Portugal;OutdoorOver100;15/3/2020;3/5/2020
;2;Portugal;PlaceOfWorship;13/3/2020;30/5/2020
;13;Portugal;PrivateGatheringRestrictions;3/5/2020;28/6/2021
;1;Portugal;QuarantineForInternationalTravellers;27/2/2020;17/3/2020
;1;Portugal;RegionalStayHomeOrder;2/4/2020;3/5/2020
;2;Portugal;RestaurantsCafes;15/3/2020;31/5/2020
;4;Portugal;RestaurantsCafes;15/11/2020;31/3/2021
;2;Portugal;StayHomeOrder;19/3/2020;2/5/2020
;2;Portugal;StayHomeRiskG;18/3/2020;2/5/2020
;2;Portugal;Teleworking;16/3/2020;31/5/2020
;4;Portugal;TeleworkingPartial;1/6/2020;22/10/2020
;;Romania;AdaptationOfWorkplace;16/3/2020;
;3;Romania;ClosDaycare;16/3/2020;14/6/2020
;1;Romania;ClosDaycare;9/11/2020;23/12/2020
;3;Romania;ClosDaycarePartial;15/6/2020;14/9/2020
;3;Romania;ClosHigh;16/3/2020;14/6/2020
;7;Romania;ClosHighPartial;31/8/2020;5/3/2021
;3;Romania;ClosPrim;16/3/2020;14/6/2020
;1;Romania;ClosPrim;9/11/2020;23/12/2020
;3;Romania;ClosPrimPartial;15/6/2020;14/9/2020
;2;Romania;ClosPubAny;18/3/2020;13/5/2020
;;Romania;ClosPubAnyPartial;14/5/2020;
;3;Romania;ClosSec;16/3/2020;1/6/2020
;1;Romania;ClosSec;9/11/2020;23/12/2020
;3;Romania;ClosSecPartial;2/6/2020;13/9/2020
;2;Romania;EntertainmentVenues;18/3/2020;13/5/2020
;;Romania;EntertainmentVenuesPartial;14/5/2020;
;2;Romania;GymsSportsCentres;18/3/2020;30/5/2020
;1;Romania;GymsSportsCentresPartial;31/5/2020;14/6/2020
;2;Romania;HotelsOtherAccommodation;18/3/2020;15/5/2020
;9;Romania;IndoorOver50;1/9/2020;8/6/2021
;9;Romania;MasksMandatoryAllSpaces;1/8/2020;14/5/2021
;2;Romania;MasksMandatoryClosedSpaces;15/5/2020;31/7/2020
;9;Romania;MassGather50;1/9/2020;8/6/2021
;14;Romania;MassGatherAll;18/3/2020;31/5/2021
;2;Romania;NonEssentialShops;22/3/2020;13/5/2020
;1;Romania;NonEssentialShopsPartial;14/5/2020;14/6/2020
;6;Romania;NonEssentialShopsPartial;5/11/2020;14/5/2021
;5;Romania;OutdoorOver500;18/3/2020;31/8/2020
;2;Romania;PlaceOfWorship;18/3/2020;14/5/2020
;;Romania;PlaceOfWorshipPartial;15/5/2020;
;;Romania;PrivateGatheringRestrictions;22/3/2020;
;5;Romania;QuarantineForInternationalTravellers;25/3/2020;16/8/2020
;;Romania;QuarantineForInternationalTravellersPartial;17/8/2020;
;2;Romania;RestaurantsCafes;18/3/2020;31/5/2020
;;Romania;RestaurantsCafesPartial;1/6/2020;
;2;Romania;StayHomeOrderPartial;22/3/2020;13/5/2020
;6;Romania;StayHomeOrderPartial;9/11/2020;14/5/2021
;2;Romania;StayHomeRiskG;25/3/2020;14/5/2020
;19;Romania;Teleworking;16/3/2020;24/10/2021
;3;Slovakia;BanOnAllEvents;10/3/2020;3/6/2020
12;0;Slovakia;BanOnAllEventsPartial;2/11/2020;14/11/2020
;4;Slovakia;BanOnAllEventsPartial;30/12/2020;28/4/2021
;2;Slovakia;ClosDaycare;16/3/2020;31/5/2020
29;0;Slovakia;ClosDaycarePartial;1/6/2020;30/6/2020
;3;Slovakia;ClosHigh;16/3/2020;9/6/2020
;14;Slovakia;ClosHighPartial;10/6/2020;30/8/2021
;2;Slovakia;ClosPrim;30/3/2020;31/5/2020
29;0;Slovakia;ClosPrimPartial;1/6/2020;30/6/2020
;6;Slovakia;ClosPrimPartial;12/10/2020;11/4/2021
;2;Slovakia;ClosPubAnyPartial;12/3/2020;20/5/2020
;;Slovakia;ClosPubAnyPartial;1/10/2020;
;2;Slovakia;ClosSec;16/3/2020;31/5/2020
;1;Slovakia;ClosSec;12/10/2020;15/11/2020
29;0;Slovakia;ClosSecPartial;1/6/2020;30/6/2020
;10;Slovakia;ClosSecPartial;16/11/2020;2/9/2021
;2;Slovakia;EntertainmentVenues;16/3/2020;20/5/2020
;1;Slovakia;EntertainmentVenues;15/10/2020;15/11/2020
;4;Slovakia;EntertainmentVenues;19/12/2020;26/4/2021
;1;Slovakia;EntertainmentVenuesPartial;16/11/2020;18/12/2020
;2;Slovakia;GymsSportsCentres;16/3/2020;20/5/2020
;1;Slovakia;GymsSportsCentres;15/10/2020;15/11/2020
;4;Slovakia;GymsSportsCentres;19/12/2020;25/4/2021
;1;Slovakia;GymsSportsCentresPartial;16/11/2020;18/12/2020
;2;Slovakia;HotelsOtherAccommodationPartial;12/3/2020;20/5/2020
17;0;Slovakia;HotelsOtherAccommodationPartial;14/12/2020;31/12/2020
10;0;Slovakia;IndoorOver100;4/6/2020;14/6/2020
;2;Slovakia;IndoorOver1000;15/6/2020;31/8/2020
29;0;Slovakia;IndoorOver500;1/9/2020;30/9/2020
;3;Slovakia;MasksMandatoryAllSpaces;25/3/2020;9/6/2020
;;Slovakia;MasksMandatoryAllSpacesPartial;1/10/2020;
;3;Slovakia;MasksMandatoryClosedSpaces;10/6/2020;30/9/2020
;3;Slovakia;MassGather50;10/3/2020;3/6/2020
12;0;Slovakia;MassGather50Partial;2/11/2020;14/11/2020
;4;Slovakia;MassGather50Partial;30/12/2020;28/4/2021
;6;Slovakia;MassGatherAll;10/3/2020;30/9/2020
12;0;Slovakia;MassGatherAllPartial;2/11/2020;14/11/2020
;4;Slovakia;MassGatherAllPartial;30/12/2020;28/4/2021
;1;Slovakia;NonEssentialShops;16/3/2020;21/4/2020
;1;Slovakia;NonEssentialShopsPartial;22/4/2020;20/5/2020
;13;Slovakia;NonEssentialShopsPartial;1/10/2020;24/11/2021
10;0;Slovakia;OutdoorOver100;4/6/2020;14/6/2020
;3;Slovakia;OutdoorOver1000;15/6/2020;30/9/2020
;;Slovakia;QuarantineForInternationalTravellersPartial;12/3/2020;
;2;Slovakia;RestaurantsCafesPartial;12/3/2020;20/5/2020
;2;Slovakia;RestaurantsCafesPartial;1/10/2020;31/12/2020
12;0;Slovakia;StayHomeOrderPartial;2/11/2020;14/11/2020
;5;Slovakia;Teleworking;2/11/2020;18/4/2021
;2;Slovenia;BanOnAllEventsPartial;19/3/2020;4/5/2020
;5;Slovenia;BanOnAllEventsPartial;17/10/2020;31/3/2021
;2;Slovenia;ClosDaycare;12/3/2020;17/5/2020
;4;Slovenia;ClosDaycare;26/10/2020;2/2/2021
;1;Slovenia;ClosDaycarePartial;18/5/2020;1/6/2020
;7;Slovenia;ClosHigh;12/3/2020;14/10/2020
;3;Slovenia;ClosHigh;24/10/2020;25/1/2021
8;0;Slovenia;ClosHighPartial;15/10/2020;23/10/2020
;2;Slovenia;ClosPrim;12/3/2020;17/5/2020
;4;Slovenia;ClosPrim;24/10/2020;15/2/2021
;1;Slovenia;ClosPrimPartial;18/5/2020;1/6/2020
;1;Slovenia;ClosPubAny;14/3/2020;28/4/2020
;;Slovenia;ClosPubAnyPartial;29/4/2020;
;2;Slovenia;ClosSec;12/3/2020;17/5/2020
;4;Slovenia;ClosSec;19/10/2020;14/2/2021
;1;Slovenia;ClosSecPartial;18/5/2020;24/6/2020
;1;Slovenia;ClosureOfPublicTransport;14/3/2020;30/4/2020
;1;Slovenia;ClosureOfPublicTransport;16/11/2020;15/12/2020
;1;Slovenia;EntertainmentVenues;16/3/2020;28/4/2020
;8;Slovenia;EntertainmentVenuesPartial;29/4/2020;18/12/2020
;2;Slovenia;GymsSportsCentres;15/3/2020;17/5/2020
;1;Slovenia;GymsSportsCentresPartial;18/5/2020;1/6/2020
8;0;Slovenia;IndoorOver100;10/3/2020;18/3/2020
26;0;Slovenia;IndoorOver100;5/5/2020;31/5/2020
2;0;Slovenia;IndoorOver500;7/3/2020;9/3/2020
;;Slovenia;MasksMandatoryAllSpacesPartial;25/6/2020;
;3;Slovenia;MasksMandatoryClosedSpaces;30/3/2020;11/6/2020
13;0;Slovenia;MassGather50;18/5/2020;31/5/2020
;2;Slovenia;MassGather50Partial;19/3/2020;4/5/2020
;5;Slovenia;MassGather50Partial;17/10/2020;31/3/2021
11;0;Slovenia;MassGatherAll;7/3/2020;18/3/2020
;1;Slovenia;MassGatherAll;5/5/2020;14/6/2020
;2;Slovenia;MassGatherAllPartial;19/3/2020;4/5/2020
;5;Slovenia;MassGatherAllPartial;17/10/2020;31/3/2021
;1;Slovenia;NonEssentialShops;15/3/2020;20/4/2020
;2;Slovenia;NonEssentialShops;24/10/2020;14/12/2020
;;Slovenia;NonEssentialShopsPartial;15/12/2020;
13;0;Slovenia;OutdoorOver50;18/5/2020;31/5/2020
7;0;Slovenia;OutdoorOver500;10/3/2020;17/3/2020
13;0;Slovenia;OutdoorOver500;1/6/2020;14/6/2020
;2;Slovenia;PrivateGatheringRestrictions;19/3/2020;17/5/2020
;5;Slovenia;PrivateGatheringRestrictions;13/11/2020;11/4/2021
;1;Slovenia;PrivateGatheringRestrictionsPartial;14/10/2020;12/11/2020
;;Slovenia;QuarantineForInternationalTravellers;4/4/2020;
;2;Slovenia;RestaurantsCafes;15/3/2020;17/5/2020
;5;Slovenia;RestaurantsCafesPartial;17/10/2020;31/3/2021
;6;Slovenia;StayHomeOrderPartial;20/10/2020;12/4/2021
;;Slovenia;Teleworking;4/3/2020;
;2;Slovenia;WorkplaceClosures;15/3/2020;4/5/2020
1;0;Spain;AdaptationOfWorkplace;11/4/2020;12/4/2020
;3;Spain;BanOnAllEvents;14/3/2020;1/6/2020
;;Spain;BanOnAllEventsPartial;1/10/2020;
;5;Spain;ClosDaycare;12/3/2020;27/8/2020
;5;Spain;ClosHigh;12/3/2020;27/8/2020
;;Spain;ClosHighPartial;15/9/2020;
;5;Spain;ClosPrim;12/3/2020;27/8/2020
;;Spain;ClosPubAnyPartial;14/3/2020;
;5;Spain;ClosSec;12/3/2020;27/8/2020
;14;Spain;ClosureOfPublicTransportPartial;14/3/2020;9/5/2021
;2;Spain;EntertainmentVenues;14/3/2020;10/5/2020
;10;Spain;EntertainmentVenues;14/8/2020;1/6/2021
;1;Spain;EntertainmentVenuesPartial;11/5/2020;20/6/2020
;3;Spain;GymsSportsCentres;14/3/2020;20/6/2020
;2;Spain;HotelsOtherAccommodation;14/3/2020;31/5/2020
19;0;Spain;HotelsOtherAccommodationPartial;1/6/2020;20/6/2020
19;0;Spain;IndoorOver100;2/6/2020;21/6/2020
;10;Spain;MasksMandatoryAllSpacesPartial;21/5/2020;29/3/2021
16;0;Spain;MasksMandatoryClosedSpaces;4/5/2020;20/5/2020
;2;Spain;MasksVoluntaryClosedSpaces;13/3/2020;3/5/2020
;3;Spain;MassGather50;14/3/2020;1/6/2020
;;Spain;MassGather50Partial;1/10/2020;
;3;Spain;MassGatherAll;14/3/2020;21/6/2020
;;Spain;MassGatherAllPartial;1/10/2020;
;3;Spain;NonEssentialShops;14/3/2020;21/6/2020
19;0;Spain;OutdoorOver1000;2/6/2020;21/6/2020
;3;Spain;PlaceOfWorshipPartial;14/3/2020;21/6/2020
;7;Spain;PlaceOfWorshipPartial;25/10/2020;9/5/2021
;7;Spain;PrivateGatheringRestrictionsPartial;25/10/2020;9/5/2021
;5;Spain;QuarantineForInternationalTravellers;25/2/2020;1/7/2020
;8;Spain;RegionalStayHomeOrderPartial;25/10/2020;7/6/2021
;2;Spain;RestaurantsCafes;14/3/2020;3/5/2020
;4;Spain;RestaurantsCafesPartial;4/5/2020;30/9/2020
;;Spain;RestaurantsCafesPartial;19/10/2020;
1;0;Spain;SocialCirclePartial;27/8/2020;28/8/2020
4;0;Spain;StayHomeGen;9/3/2020;13/3/2020
;2;Spain;StayHomeOrder;14/3/2020;3/5/2020
7;0;Spain;StayHomeOrderPartial;4/5/2020;11/5/2020
1;0;Spain;StayHomeRiskG;12/3/2020;13/3/2020
;1;Spain;Teleworking;9/3/2020;12/4/2020
;5;Sweden;AdaptationOfWorkplace;8/7/2020;31/12/2020
;4;Sweden;AdaptationOfWorkplacePartial;25/3/2020;7/7/2020
;14;Sweden;ClosHigh;17/3/2020;31/5/2021
;14;Sweden;ClosPubAnyPartial;1/7/2020;28/9/2021
;3;Sweden;ClosSec;18/3/2020;15/6/2020
;1;Sweden;ClosSec;7/12/2020;6/1/2021
;1;Sweden;ClosSecPartial;23/11/2020;6/12/2020
;18;Sweden;IndoorOver500;12/3/2020;29/9/2021
;14;Sweden;MassGather50;29/3/2020;31/5/2021
;18;Sweden;MassGatherAll;12/3/2020;29/9/2021
;14;Sweden;OutdoorOver50;29/3/2020;31/5/2021
;10;Sweden;PrivateGatheringRestrictions;30/11/2020;29/9/2021
;14;Sweden;RestaurantsCafesPartial;1/7/2020;28/9/2021
;6;Sweden;StayHomeRiskG;1/4/2020;22/10/2020
;;Sweden;Teleworking;16/3/2020;
